"wss_data","as_data"
19938.4033741597,0.564997488657363
16646.673916708,0.552814127144501
13418.4249311994,0.307906516879181
11606.7609994492,0.311793297310968
10959.4117765678,0.297984523213045
10389.9635054969,0.283321456859839
9831.67770221764,0.182698881067366
9304.07531596942,0.183150542817666
8820.48735301785,0.185079254769305
8371.91408940746,0.185534092169469
7954.88336612389,0.198563156679047
7584.72825678071,0.200632103900136
7312.26147263062,0.202439287200592
7049.63400116142,0.202542035995355
6800.0175679697,0.207044165031131
6587.63213717006,0.182767563633892
6376.66956317613,0.184012163196931
6189.05378864087,0.184442206832806
6020.32229604627,0.187151731897179
