"REPDIST","adult_arr_rate_LA.2018","arr_rate_a_LA.2018","arr_rate_b_LA.2018","arr_rate_h_LA.2018","arr_rate_w_LA.2018","cfs_nonser_rate_LA.2018","cfs_nonser_rate_LA.2018.1","cfs_nonser_rate_LA.2018.2","cfs_serious_rate_LA.2018","cfs_serious_rate_LA.2018.1","cfs_serious_rate_LA.2018.2","cfs_serious_rate_LA.2018.3","cfs_serious_rate_LA.2018.4","cfs_serious_rate_LA.2018.5","cfs_serious_rate_LA.2018.6","cfs_serious_rate_LA.2018.7","cfs_serious_rate_LA.2018.8","cfs_serious_rate_LA.2018.9","cfs_serious_rate_LA.2018.10","cfs_serious_rate_LA.2018.11","crime_p1p_rate_LA.2018","crime_p1v_rate_LA.2018","crime_p2_rate_LA.2018","juv_arr_rate_LA.2018","s_numped_rate_LA.2018","s_numveh_rate_LA.2018","stop_rate_a_LA.2018","stop_rate_b_LA.2018","stop_rate_h_LA.2018","stop_rate_w_LA.2018","a_pop_pct.2018","b_pop_pct.2018","w_pop_pct.2018","h_pop_pct.2018","s_totnum.2018","arr_total.2018","cfs_ui.2018","cfs_serious.2018","cfs_nonser.2018","crime_p1v.2018","crime_p1p.2018","crime_p2.2018","s_numveh.2018","s_numped.2018","juv_pop_pct.2018","total_pop.2018","cluster_h","cluster_k","cluster_g","total_police_scale","total_citizen_scale"
508,-0.516561136580488,-0.335547647241966,-0.435101974003025,-0.583107452403878,-0.352743231269481,-0.757979091116328,-0.757979091116328,-0.757979091116328,-0.809499649364439,-0.809499649364439,-0.809499649364439,-0.809499649364439,-0.809499649364439,-0.809499649364439,-0.809499649364439,-0.809499649364439,-0.809499649364439,-0.809499649364439,-0.809499649364439,-0.809499649364439,-0.510166756653103,-0.797004067027865,-1.02609823950739,-0.625631846675572,-0.588427925204967,-0.503195600065424,-0.0699306173049132,-0.400665406805908,-0.583456356239128,-0.431025275986644,0.420860927152318,0.00993377483443709,0.317880794701987,0.210264900662252,209,11,327,33,294,15,51,14,183,26,0.158940397350993,3020,"1","5","5",-0.584373976200668,-0.787396449152051
509,-0.468803200580814,-0.335547647241966,-0.351575700325089,-0.503907443012465,-0.301555662709632,-0.362877872078775,-0.362877872078775,-0.362877872078775,-0.233629202664223,-0.233629202664223,-0.233629202664223,-0.233629202664223,-0.233629202664223,-0.233629202664223,-0.233629202664223,-0.233629202664223,-0.233629202664223,-0.233629202664223,-0.233629202664223,-0.233629202664223,-0.442422264901076,-0.299971310941806,-0.217437302135552,0.341532612568196,-0.353388088813048,-0.338660316833971,-0.0219141317386277,-0.348505305328616,-0.336164461720509,-0.176786937603137,0.257458757458757,0.116532116532117,0.177606177606178,0.392242892242892,359,23,580,108,472,44,56,41,275,84,0.256405756405756,5698,"1","3","2",-0.397102241894074,-0.341643964926035
518,-0.441512951438143,-0.335547647241966,-0.418396719267438,-0.345507424229639,-0.352743231269481,-0.411710607016,-0.411710607016,-0.411710607016,-0.494690471834988,-0.494690471834988,-0.494690471834988,-0.494690471834988,-0.494690471834988,-0.494690471834988,-0.494690471834988,-0.494690471834988,-0.494690471834988,-0.494690471834988,-0.494690471834988,-0.494690471834988,-0.523715655003508,-0.505640037598106,-0.15753649195986,-0.0453331711293115,-0.503327294787204,-0.352967732767141,-0.502078987401488,-0.437177477840014,-0.138330946105611,-0.484237951462262,0.0303313112459169,0,0.138590760615959,0.803546430237984,314,25,524,74,450,32,50,43,267,47,0.286047596826878,4286,"1","5","1",-0.446810171370516,-0.440308546414797
515,-0.134497648583096,-0.335547647241966,-0.318165190853914,0.177212637753688,-0.275961878429708,0.0544200446575171,0.0544200446575171,0.0544200446575171,-0.0109592966068055,-0.0109592966068055,-0.0109592966068055,-0.0109592966068055,-0.0109592966068055,-0.0109592966068055,-0.0109592966068055,-0.0109592966068055,-0.0109592966068055,-0.0109592966068055,-0.0109592966068055,-0.0109592966068055,0.0588869740639205,0.0256708395973363,-0.187486897047706,-0.0453331711293115,-0.142662718254776,-0.0489351441872822,-0.550095472967774,-0.343289295180886,0.501536830961315,-0.383725120008318,0.040184579888483,0,0.0732551432416843,0.883099403960777,573,70,797,137,660,63,93,42,437,136,0.287060180734474,5201,"2","3","2",-0.0953866699556736,0.0406812883429201
514,-0.0867397125834221,0.365827269184611,-0.401691464531851,0.383132662171362,-0.275961878429708,0.735858664008802,0.735858664008802,0.735858664008802,0.480450151244046,0.480450151244046,0.480450151244046,0.480450151244046,0.480450151244046,0.480450151244046,0.480450151244046,0.480450151244046,0.480450151244046,0.480450151244046,0.480450151244046,0.480450151244046,0.763429688284997,0.76265044344908,0.860777281026903,0.148099720719443,-0.18318682797752,0.752280148070227,0.45825072392423,-0.116392853754661,1.1135842698949,0.225264388212643,0.0420491806785007,0.0119763782423437,0.0724595937546727,0.864506140802159,1011,78,1168,201,967,106,145,77,885,126,0.26295153614838,6877.2666015625,"2","3","3",0.420188598567417,0.694334140705972
513,-0.0799171502977547,-0.335547647241966,-0.100996879291278,-0.0445473885422681,0.184726238608934,1.0332944131719,1.0332944131719,1.0332944131719,1.17149468728431,1.17149468728431,1.17149468728431,1.17149468728431,1.17149468728431,1.17149468728431,1.17149468728431,1.17149468728431,1.17149468728431,1.17149468728431,1.17149468728431,1.17149468728431,0.682136298182565,0.471286414019321,0.441471609797059,0.921831288114457,0.262578378972671,0.240790028459407,-0.0459223745217711,0.0166154050124363,0.516992574368729,0.107013998266824,0.118423495102105,0.0856978400261978,0.0767106716046444,0.685049549890171,835,83,1392,291,1101,89,139,63,599,236,0.262572268054581,3509.89572143555,"3","1","3",0.222512879021568,1.08899246666102
503,0.145227405129278,0.365827269184611,-0.184523152969215,0.177212637753688,0.491851649968029,-0.429467965174991,-0.429467965174991,-0.429467965174991,0.0274320665065422,0.0274320665065422,0.0274320665065422,0.0274320665065422,0.0274320665065422,0.0274320665065422,0.0274320665065422,0.0274320665065422,0.0274320665065422,0.0274320665065422,0.0274320665065422,0.0274320665065422,-0.428873366550671,0.248478626808328,0.531322825060597,0.148099720719443,0.205844625360829,-0.327929754884094,-0.502078987401488,-0.207673031339924,-0.163060135557474,0.207526829720772,0.154714738510301,0.243264659270998,0.106774960380349,0.390253565768621,503,112,584,142,442,76,57,66,281,222,0.337559429477021,5048,"2","3","2",-0.127754624033356,-0.334596494819695
511,-0.35964220401013,-0.335547647241966,-0.401691464531851,-0.266307414838224,-0.352743231269481,-0.154228913710629,-0.154228913710629,-0.154228913710629,-0.210594384796214,-0.210594384796214,-0.210594384796214,-0.210594384796214,-0.210594384796214,-0.210594384796214,-0.210594384796214,-0.210594384796214,-0.210594384796214,-0.210594384796214,-0.210594384796214,-0.210594384796214,-0.212090992944186,-0.162858826504272,-0.277338112311244,-0.432198954826819,-0.406069431452616,-0.38158256463348,-0.213980074003772,-0.330249269811563,-0.31452642095013,-0.40146267850019,0.132781012091357,0.0595611285266458,0.133228840125392,0.656739811912226,322,35,677,111,566,52,73,39,251,71,0.22615315718764,4466,"2","3","2",-0.426002200892005,-0.170742814847285
517,-0.100384837154757,-0.335547647241966,-0.318165190853914,0.303932652779949,-0.224774309869858,0.136547826142851,0.136547826142851,0.136547826142851,-0.10309856807884,-0.10309856807884,-0.10309856807884,-0.10309856807884,-0.10309856807884,-0.10309856807884,-0.10309856807884,-0.10309856807884,-0.10309856807884,-0.10309856807884,-0.10309856807884,-0.10309856807884,0.0182402790127046,0.0599489607067198,-0.15753649195986,0.148099720719443,-0.0210903890865416,1.15109936720734,-0.189971831220629,-0.223321061783112,2.26040043072499,0.00650116681288029,0.0413260672116258,0.0181653042688465,0.0158946412352407,0.922797456857402,1274,76,822,125,697,65,90,43,1108,166,0.293596730245232,4404,"2","3","2",0.721904170505818,0.0847279765075463
528,-0.236836082868112,-0.335547647241966,-0.384986209796263,0.0188126189708611,-0.250368094149783,0.036662686498526,0.036662686498526,0.036662686498526,-0.0954202954561706,-0.0954202954561706,-0.0954202954561706,-0.0954202954561706,-0.0954202954561706,-0.0954202954561706,-0.0954202954561706,-0.0954202954561706,-0.0954202954561706,-0.0954202954561706,-0.0954202954561706,-0.0954202954561706,-0.0359553143889167,-0.145719765949581,-0.636742973365396,-0.432198954826819,-0.195344060894344,-0.290372788059523,-0.59811195853406,-0.431961467692284,0.266609531168626,-0.525625587943298,0.0013215859030837,0.0182819383259912,0.0262114537444934,0.95,425,53,778,126,652,53,86,27,302,123,0.240308370044053,4540,"2","3","2",-0.286126399342019,0.00720580533780428
516,-0.250481207439447,-0.335547647241966,-0.384986209796263,-0.012867384785705,-0.250368094149783,-0.280750090593441,-0.280750090593441,-0.280750090593441,-0.126133385946849,-0.126133385946849,-0.126133385946849,-0.126133385946849,-0.126133385946849,-0.126133385946849,-0.126133385946849,-0.126133385946849,-0.126133385946849,-0.126133385946849,-0.126133385946849,-0.126133385946849,-0.40177556984986,-0.248554129277731,-0.486990947926166,-0.432198954826819,-0.304759157145755,0.652128236538039,-0.213980074003772,-0.343289295180886,1.37633190782093,-0.070361586651901,0.00724262803931712,0.000517330574236937,0.0362131401965856,0.95602690118986,925,51,631,122,509,47,59,32,829,96,0.35307811691671,3866,"2","3","2",0.289560783896769,-0.251788721070197
532,-0.257303769725114,-0.335547647241966,-0.368280955060676,0.0188126189708611,-0.301555662709632,-0.287409099903062,-0.287409099903062,-0.287409099903062,-0.233629202664223,-0.233629202664223,-0.233629202664223,-0.233629202664223,-0.233629202664223,-0.233629202664223,-0.233629202664223,-0.233629202664223,-0.233629202664223,-0.233629202664223,-0.233629202664223,-0.233629202664223,-0.388226671499455,-0.0600244631761222,0.0221659385672157,0.148099720719443,-0.369597732702146,-0.0489351441872822,-0.430054259052059,-0.398057401732044,0.43044041128721,-0.478325431964971,0.00211819529760644,0,0.0637576784579538,0.932429570006355,517,53,614,108,506,58,60,49,437,80,0.308832874391019,4721,"2","3","2",-0.179774550229632,-0.281740469022143
531,-0.223190958296777,0.365827269184611,-0.167817898233627,-0.282147416716507,-0.045617819910386,0.149865844762094,0.149865844762094,0.149865844762094,-0.0954202954561706,-0.0954202954561706,-0.0954202954561706,-0.0954202954561706,-0.0954202954561706,-0.0954202954561706,-0.0954202954561706,-0.0954202954561706,-0.0954202954561706,-0.0954202954561706,-0.0954202954561706,-0.0954202954561706,0.46535392457608,-0.0428854026214304,-0.45704054283832,0.148099720719443,-0.325021212007127,-0.363698294717018,-0.406046016268916,-0.202457021192194,-0.391805137987199,-0.295037327548954,0.140851901042174,0.0857785787868813,0.152344292209249,0.590067650487977,352,58,829,126,703,59,123,33,261,91,0.206505261743806,3374.82733154297,"2","3","2",-0.364734287816391,0.0970610491936416
529,1.74170697997553,-0.335547647241966,0.35004499856958,2.7116129382789,1.46441545260516,2.00994911191642,2.00994911191642,2.00994911191642,2.14663531036334,2.14663531036334,2.14663531036334,2.14663531036334,2.14663531036334,2.14663531036334,2.14663531036334,2.14663531036334,2.14663531036334,2.14663531036334,2.14663531036334,2.14663531036334,2.02347723487269,1.9623846822775,0.591223635236289,-0.432198954826819,1.39725345120952,1.79850993818327,0.0981270821770877,0.0244394202340302,3.61123240453295,0.899291610903802,0.00557966522008679,0.0455672659640422,0.032548047117173,0.90018598884067,1986,343,1959,418,1541,176,238,68,1470,516,0.320520768753875,3226,"3","1","4",1.8536265648648,2.08797135423474
512,-0.516561136580488,-0.335547647241966,-0.435101974003025,-0.614787456160443,-0.224774309869858,-1.08649021705766,-1.08649021705766,-1.08649021705766,-0.940030283949822,-0.940030283949822,-0.940030283949822,-0.940030283949822,-0.940030283949822,-0.940030283949822,-0.940030283949822,-0.940030283949822,-0.940030283949822,-0.940030283949822,-0.940030283949822,-0.940030283949822,-0.848889215413236,-0.934116551465399,-1.08599904968309,-0.625631846675572,-0.539798993537674,-0.749998524912603,-0.670136686883489,-0.439785482913878,-0.812201358668851,-0.460587873473099,0.109004736251619,0.0975513368753391,0.325829373438818,0.441153240054763,83,11,162,16,146,7,26,12,45,38,0.191153240054763,1758.17272949219,"1","5","5",-0.73002976955024,-1.07810459103858
