"rown","coln","cor","p","abs_cor"
"Precinct","Arrest Type",0.00103743043515051,0.00103743043515051,0.00103743043515051
"Precinct","Age Midpoint",NA,NA,NA
"Arrest Type","Age Midpoint",NA,NA,NA
"Precinct","Subject Gender",NA,NA,NA
"Arrest Type","Subject Gender",NA,NA,NA
"Age Midpoint","Subject Gender",NA,NA,NA
