"bic","avg_silhouette"
-56031.3699507118,0.450640880558058
-36708.419998317,0.266359582684225
-27351.9323917786,0.199491298981259
-21178.4330441767,0.161948347840648
-16664.8041304238,0.0993226266740054
-12060.5577121165,0.0700961175401509
-7999.88449666158,0.0536239396116737
-5919.63572641857,0.0574427664703747
-3795.15100803834,0.0502983117295284
-1221.80090281511,0.0259461203290265
941.967921964113,0.00651251812228456
3519.22539495698,-0.00400556838345256
5692.32382712288,0.00137309144432305
7117.125411893,-0.00327484754273889
8186.59438520694,-0.00422136900520727
8069.9445977651,0.00352143822400255
10412.0340526328,-0.00728798533048676
11388.8437606855,-0.0137085606837554
13317.7905661558,-0.0324217398311887
